الفئة: جميع الفئات

الشهر,diet: (في جميع أنحاء العالم),gym: (في جميع أنحاء العالم),finance: (في جميع أنحاء العالم)
2004-01,100,25,47
2004-02,73,21,46
2004-03,66,21,41
2004-04,68,19,44
2004-05,71,19,43
2004-06,64,19,43
2004-07,60,20,43
2004-08,57,23,43
2004-09,56,23,45
2004-10,51,20,42
2004-11,49,20,41
2004-12,41,20,39
2005-01,64,31,43
2005-02,54,26,46
2005-03,55,25,44
2005-04,56,22,44
2005-05,57,23,43
2005-06,53,23,44
2005-07,54,24,44
2005-08,52,26,44
2005-09,47,26,44
2005-10,46,25,43
2005-11,42,26,41
2005-12,38,24,38
2006-01,62,33,45
2006-02,52,28,44
2006-03,50,28,49
2006-04,50,25,46
2006-05,50,25,45
2006-06,52,25,44
2006-07,52,27,44
2006-08,49,29,44
2006-09,46,30,45
2006-10,43,27,47
2006-11,43,27,45
2006-12,36,27,39
2007-01,57,36,48
2007-02,50,32,50
2007-03,51,32,48
2007-04,52,31,48
2007-05,49,31,47
2007-06,48,31,45
2007-07,48,31,50
2007-08,43,31,52
2007-09,45,32,50
2007-10,42,28,52
2007-11,39,27,50
2007-12,34,27,43
2008-01,53,34,52
2008-02,46,30,50
2008-03,46,28,51
2008-04,48,29,53
2008-05,44,27,48
2008-06,42,28,50
2008-07,44,27,52
2008-08,45,30,48
2008-09,41,32,63
2008-10,41,29,73
2008-11,39,28,57
2008-12,36,27,52
2009-01,52,36,55
2009-02,46,30,57
2009-03,48,29,60
2009-04,48,28,59
2009-05,48,28,54
2009-06,46,28,55
2009-07,45,28,56
2009-08,46,31,57
2009-09,45,30,59
2009-10,44,28,55
2009-11,42,28,52
2009-12,39,27,46
2010-01,58,36,53
2010-02,50,30,52
2010-03,51,30,54
2010-04,51,29,57
2010-05,50,28,54
2010-06,47,28,53
2010-07,49,29,51
2010-08,48,32,50
2010-09,48,31,53
2010-10,45,28,51
2010-11,42,29,48
2010-12,38,28,44
2011-01,58,38,49
2011-02,50,33,49
2011-03,53,34,52
2011-04,55,31,49
2011-05,56,32,49
2011-06,53,32,47
2011-07,53,31,48
2011-08,50,34,57
2011-09,51,35,51
2011-10,50,33,49
2011-11,49,34,46
2011-12,44,33,42
2012-01,65,42,45
2012-02,57,36,47
2012-03,55,35,47
2012-04,57,35,45
2012-05,55,34,47
2012-06,53,35,44
2012-07,54,36,43
2012-08,54,37,44
2012-09,51,38,45
2012-10,45,34,45
2012-11,44,34,43
2012-12,42,32,38
2013-01,63,43,46
2013-02,61,40,46
2013-03,58,37,45
2013-04,59,38,46
2013-05,56,37,47
2013-06,55,37,44
2013-07,54,38,45
2013-08,52,39,46
2013-09,50,38,46
2013-10,47,37,48
2013-11,44,36,42
2013-12,43,35,40
2014-01,61,48,47
2014-02,53,43,47
2014-03,54,41,47
2014-04,53,40,45
2014-05,52,39,44
2014-06,49,39,44
2014-07,48,39,45
2014-08,47,40,44
2014-09,46,42,50
2014-10,43,38,48
2014-11,41,38,43
2014-12,39,37,42
2015-01,54,48,44
2015-02,49,44,46
2015-03,51,43,46
2015-04,50,40,46
2015-05,47,41,43
2015-06,48,41,46
2015-07,46,43,46
2015-08,46,44,48
2015-09,43,44,49
2015-10,42,40,45
2015-11,39,42,42
2015-12,37,41,40
2016-01,51,52,43
2016-02,48,47,46
2016-03,47,46,43
2016-04,48,44,42
2016-05,46,47,42
2016-06,44,46,45
2016-07,45,58,42
2016-08,45,52,42
2016-09,42,49,44
2016-10,39,45,41
2016-11,38,44,43
2016-12,36,44,38
2017-01,51,56,43
2017-02,56,52,44
2017-03,51,49,46
2017-04,49,47,41
2017-05,49,48,43
2017-06,46,50,42
2017-07,50,52,43
2017-08,46,52,44
2017-09,45,50,46
2017-10,44,48,47
2017-11,41,45,48
2017-12,39,45,52
2018-01,58,58,55
2018-02,52,51,50
2018-03,56,51,48
2018-04,55,48,47
2018-05,55,49,46
2018-06,51,50,43
2018-07,55,50,45
2018-08,50,50,47
2018-09,47,49,47
2018-10,46,46,49
2018-11,42,47,43
2018-12,41,47,41
2019-01,63,57,46
2019-02,52,52,47
2019-03,52,50,46
2019-04,51,48,44
2019-05,48,46,47
2019-06,46,51,46
2019-07,48,50,48
2019-08,46,51,55
2019-09,44,52,49
2019-10,43,47,51
2019-11,42,51,49
2019-12,36,48,47
2020-01,51,59,54
2020-02,48,54,60
2020-03,35,49,75
2020-04,36,37,65
2020-05,44,38,64
2020-06,43,41,65
2020-07,43,44,63
2020-08,41,45,57
2020-09,41,46,61
2020-10,36,42,55
2020-11,34,39,55
2020-12,30,39,55
2021-01,43,41,59
2021-02,37,39,65
2021-03,38,41,63
2021-04,37,45,58
2021-05,35,44,58
2021-06,35,46,57
2021-07,33,48,55
2021-08,33,47,54
2021-09,33,46,58
2021-10,31,44,54
2021-11,29,45,55
2021-12,28,43,53
2022-01,35,52,57
2022-02,34,50,58
2022-03,33,50,59
2022-04,32,47,57
2022-05,32,48,57
